SectorId,IndustryGroupId,IndustryId,SubIndustryId,processed_Sector,processed_Industry,processed_SubIndustry,processed_SubIndustryDescription,IndustryGroup
10,1010,101010,10101010,energy,energy equipment service,oil gas drilling,drilling contractor owner drilling rig contract service drilling well,Energy
10,1010,101010,10101020,energy,energy equipment service,oil gas equipment service,manufacturer equipment including drilling rig equipment provider supply service company involved drilling evaluation completion oil gas well,Energy
10,1010,101020,10102010,energy,oil gas consumable fuel,integrated oil gas,integrated oil company engaged exploration production oil gas well least one significant activity either refining marketing transportation chemical,Energy
10,1010,101020,10102020,energy,oil gas consumable fuel,oil gas exploration production,company engaged exploration production oil gas classified elsewhere,Energy
10,1010,101020,10102030,energy,oil gas consumable fuel,oil gas refining marketing,company engaged refining marketing oil gas refined product classified integrated oil gas independent power producer energy trader,Energy
10,1010,101020,10102040,energy,oil gas consumable fuel,oil gas storage transportation,company engaged storage transportation oil gas refined product includes diversified midstream natural gas company oil refined product pipeline coal slurry pipeline oil gas shipping company,Energy
10,1010,101020,10102050,energy,oil gas consumable fuel,coal consumable fuel,company primarily involved production mining coal related product consumable fuel related generation energy excludes company primarily producing gas classified industrial gas company primarily mining metallurgical coking coal used steel production,Energy
15,1510,151010,15101010,material,chemical,commodity chemical,company primarily produce industrial chemical basic chemical including limited plastic synthetic fiber film paint pigment explosive petrochemical excludes chemical company classified diversified chemical fertilizer agricultural chemical industrial gas specialty chemical,Materials
15,1510,151010,15101020,material,chemical,diversified chemical,manufacturer diversified range chemical product classified industrial gas commodity chemical specialty chemical fertilizer agricultural chemical,Materials
15,1510,151010,15101030,material,chemical,fertilizer agricultural chemical,producer fertilizer pesticide potash chemical classified elsewhere,Materials
15,1510,151010,15101040,material,chemical,industrial gas,manufacturer industrial gas,Materials
15,1510,151010,15101050,material,chemical,specialty chemical,company primarily produce high chemical used manufacture wide variety product including limited fine chemical additive advanced polymer adhesive sealant specialty paint pigment coating,Materials
15,1510,151020,15102010,material,construction material,construction material,manufacturer construction material including sand clay gypsum lime aggregate cement concrete brick finished building material classified building product,Materials
15,1510,151030,15103010,material,container packaging,metal glass plastic container,manufacturer metal glass plastic container includes cork cap,Materials
15,1510,151030,15103020,material,container packaging,paper plastic packaging product material,manufacturer paper cardboard container packaging,Materials
15,1510,151040,15104010,material,metal mining,aluminum,producer aluminum related product including company mine process bauxite company recycle aluminum produce finished product excludes company primarily produce aluminum building material classified building product,Materials
15,1510,151040,15104020,material,metal mining,diversified metal mining,company engaged diversified production extraction metal mineral classified elsewhere including limited nonferrous metal mining except bauxite salt borate mining phosphate rock mining diversified mining operation excludes iron ore mining classified steel bauxite mining classified aluminum coal mining classified either steel coal consumable fuel,Materials
15,1510,151040,15104025,material,metal mining,copper,company involved primarily copper ore mining,Materials
15,1510,151040,15104030,material,metal mining,gold,producer gold related product including company mine process gold south african finance house primarily invest operate gold mine,Materials
15,1510,151040,15104040,material,metal mining,precious metal mineral,company mining precious metal mineral classified gold includes company primarily mining platinum,Materials
15,1510,151040,15104045,material,metal mining,silver,company primarily mining silver excludes company classified gold precious metal mineral,Materials
15,1510,151040,15104050,material,metal mining,steel,producer iron steel related product including metallurgical coking coal mining used steel production,Materials
15,1510,151050,15105010,material,paper forest product,forest product,manufacturer timber related wood product includes lumber building industry,Materials
15,1510,151050,15105020,material,paper forest product,paper product,manufacturer grade paper excludes company specializing paper packaging classified paper plastic packaging product material,Materials
20,2010,201010,20101010,industrials,aerospace defense,aerospace defense,manufacturer civil military aerospace defense equipment part product includes defense electronics space equipment,Capital Goods
